07-03-18,3AF,ROBBERY - STREET,I,FIREARM,931.0,WESTERN,Hollins Market,-76.6376,39.28855,LIQUOR STO,1.0
07-03-18,4C,AGG. ASSAULT,O,OTHER,934.0,SOUTHERN,Carrollton Ridge,-76.6467,39.284620000000004,STREET,1.0
07-03-18,4B,AGG. ASSAULT,O,KNIFE,512.0,NORTHERN,Better Waverly,-76.60944,39.32849,STREET,1.0
07-03-18,3AF,ROBBERY - STREET,O,FIREARM,212.0,SOUTHEASTERN,Washington Hill,-76.58923,39.29282,STREET,1.0
07-02-18,3AF,ROBBERY - STREET,O,FIREARM,743.0,WESTERN,Sandtown-Winchester,-76.63769,39.30491,STREET,1.0
07-02-18,4D,AGG. ASSAULT,O,HANDS,433.0,NORTHEASTERN,Orchard Ridge,-76.56051,39.31087,STREET,1.0
07-02-18,4B,AGG. ASSAULT,I,KNIFE,711.0,WESTERN,Franklin Square,-76.64393000000001,39.29141,ROW/TOWNHO,1.0
07-02-18,4B,AGG. ASSAULT,O,KNIFE,434.0,NORTHEASTERN,Four By Four,-76.57811,39.31585,PORCH/DECK,1.0
07-02-18,4C,AGG. ASSAULT,I,OTHER,511.0,NORTHERN,Remington,-76.6221,39.31882,ROW/TOWNHO,1.0
07-02-18,3AF,ROBBERY - STREET,O,FIREARM,221.0,SOUTHEASTERN,Patterson Place,-76.58396,39.29306,STREET,1.0
07-02-18,4D,AGG. ASSAULT,I,HANDS,621.0,NORTHWESTERN,Dorchester,-76.69051,39.32979,APT/CONDO,1.0
07-02-18,3CF,ROBBERY - COMMERCIAL,O,FIREARM,533.0,NORTHERN,Coldspring,-76.6523,39.34362,STREET,1.0
07-02-18,3AF,ROBBERY - STREET,O,FIREARM,212.0,SOUTHEASTERN,Patterson Park,-76.58454,39.28938,STREET,1.0
07-02-18,4B,AGG. ASSAULT,I,KNIFE,711.0,WESTERN,Franklin Square,-76.64542,39.29157,APT/CONDO,1.0
07-02-18,4C,AGG. ASSAULT,I,OTHER,233.0,SOUTHEASTERN,Canton Industrial Area,-76.55453,39.27964,RETAIL/SMA,1.0
07-02-18,3AF,ROBBERY - STREET,O,FIREARM,242.0,SOUTHEASTERN,Greektown,-76.55671,39.28904,STREET,1.0
07-02-18,4A,AGG. ASSAULT,I,FIREARM,643.0,NORTHWESTERN,Dolfield,-76.67786,39.3374,ROW/TOWNHO,1.0
07-02-18,3AF,ROBBERY - STREET,O,FIREARM,923.0,SOUTHERN,Lakeland,-76.64214,39.25311,STREET,1.0
07-02-18,4D,AGG. ASSAULT,I,HANDS,732.0,WESTERN,Parkview/Woodbrook,-76.6464,39.31544,ROW/TOWNHO,1.0
07-02-18,3CF,ROBBERY - COMMERCIAL,I,FIREARM,631.0,NORTHWESTERN,Reisterstown Station,-76.69384000000001,39.34795,RESTAURANT,1.0
07-02-18,3CF,ROBBERY - COMMERCIAL,I,FIREARM,922.0,SOUTHERN,Cherry Hill,-76.62382,39.24965,RESTAURANT,1.0
07-02-18,4B,AGG. ASSAULT,O,KNIFE,512.0,NORTHERN,Charles Village,-76.61495,39.3296,STREET,1.0
07-01-18,4C,AGG. ASSAULT,O,OTHER,811.0,SOUTHWESTERN,Walbrook,-76.66667,39.31235,STREET,1.0
07-01-18,3JO,ROBBERY - RESIDENCE,I,OTHER,832.0,SOUTHWESTERN,Violetville,-76.66657,39.26157,HOTEL/MOTE,1.0
